center,services,address,phone,hours,ratings,fees
St Anthony Medical Center,Endoscopy,"Clarke Street, Vieux-Fort, St Lucia/Laborie St,Castries St Lucia",Vieux-Fort(758)454-4040/Castries(758)452-2041,Monday-Friday8am-4:30pm,4.6/5 Stars,2750
St Anthony Medical Center,Gynecology,"Clarke Street, Vieux-Fort, St Lucia/Laborie St,Castries St Lucia",Vieux-Fort(758)454-4040/Castries(758)452-2045,Monday-Friday8am-4:30pm,4.6/5 Stars,0-250
St Anthony Medical Center,STD Testing,"Clarke Street, Vieux-Fort, St Lucia/Laborie St,Castries St Lucia",Vieux-Fort(758)454-4040/Castries(758)452-2044,Monday-Friday8am-4:30pm,4.6/5 Stars,150-175
St Anthony Medical Center,UltraSounds,"Clarke Street, Vieux-Fort, St Lucia/Laborie St,Castries St Lucia",Vieux-Fort(758)454-4040/Castries(758)452-2043,Monday-Friday8am-4:30pm,4.6/5 Stars,120
St Anthony Medical Center,MRI,"Clarke Street, Vieux-Fort, St Lucia/Laborie St,Castries St Lucia",Vieux-Fort(758)454-4040/Castries(758)452-2043,Monday-Friday8am-4:30pm,4.6/5 Stars,600-800
St Judes Hospital,Dermatology,"Micoud Hightway, Banse St Lucia",(758) 459-6702,24hrs,2.4Stars,120
St Judes Hospital,General Surgery,"Micoud Hightway, Banse St Lucia",(758) 459-6701,24hrs,2.4Stars,Varies
St Judes Hospital,Internal medicine,"Micoud Hightway, Banse St Lucia",(758) 459-6700,24hrs,2.4Stars,30
St Judes Hospital,Pediatric,"Micoud Hightway, Banse St Lucia",(758) 459-6703,24hrs,2.4Stars,100-1000
St Judes Hospital,Ultrasounds,"Micoud Hightway, Banse St Lucia",(758) 459-6704,24hrs,2.4Stars,100
St Judes Hospital,X-Ray,"Micoud Hightway, Banse St Lucia",(758) 459-6705,24hrs,2.4Stars,150-175
Sunshine Dental,Dental Care,"Gros Islet Highway,Reduit St Lucia",(758)453-7698,Monday-Friday9am-2:30pm,4.5 Stars,140-450
Sunshine Dental,Tooth Extraction,"Gros Islet Highway,Reduit St Lucia",(758)453-7697,Monday-Friday9am-2:30pm,4.5 Stars,100
Tapion Hospital,Dermatology,"Tapion Rd,Castries,St Lucia",(758)459-2002,24 hrs,3.5 Stars,200
Tapion Hospital,General Surgery,"Tapion Rd,Castries,St Lucia",(758)459-2001,24 hrs,3.5 Stars,Varies
Tapion Hospital,Gynecology,"Tapion Rd,Castries,St Lucia",(758)459-2003,24 hrs,3.5 Stars,100-1000
Tapion Hospital,Internal medicine,"Tapion Rd,Castries,St Lucia",(758)459-2000,24 hrs,3.5 Stars,40
Tapion Hospital,Ophthalmology,"Tapion Rd,Castries,St Lucia",(758)459-2006,24 hrs,3.5 Stars,121-245
Tapion Hospital,Orthopedic,"Tapion Rd,Castries,St Lucia",(758)459-2004,24 hrs,3.5 Stars,100-250
Tapion Hospital,Pathology,"Tapion Rd,Castries,St Lucia",(758)459-2005,24 hrs,3.5 Stars,300-800
Tapion Hospital,Pediatric,"Tapion Rd,Castries,St Lucia",(758)459-2007,24 hrs,3.5 Stars,75-200
Tapion Hospital,MRI,"Tapion Rd,Castries,St Lucia",(758)459-2008,24 hrs,3.5 Stars,1000
True Value Pharmacy,Pharmacy," Massade, Gros Islet, St. Lucia",1 (758) 451-2006,Monday-Friday8am-6pm,4.7 Stars,10-200
True Value Pharmacy,prescription," Massade, Gros Islet, St. Lucia",2 (758) 451-2006,Monday-Friday8am-6pm,4.7 Stars,10-200
U-MED CLINIC ,Pharmacy,"Micoud st, Castries      ",Vieux-Fort(758)454-4040/Castries(758)452-2040,Monday-Friday9am-4pm,4 Stars,10-200
U-MED CLINIC ,prescription,"Micoud st, Castries      ",Vieux-Fort(758)454-4040/Castries(758)452-2041,Monday-Friday9am-4pm,4 Stars,10-200
VeMedical,Pharmacy,"Bois D' Orange, Orange Grove Plaza, St. Lucia",1 (758) 457-7420,Monday-Friday8:30am-5pm,No Stars,10-200
VeMedical,prescription,"Bois D' Orange, Orange Grove Plaza, St. Lucia",2 (758) 457-7420,Monday-Friday8:30am-5pm,No Stars,10-200
Vieux-Fort Health Center,Blood Testing,"Calvary Hill,Vieux-Fort St Lucia",(758)454-6343,Monday-Friday8am-4:30pm,4.2 Stars,0-250
Vieux-Fort Health Center,Cancer Treatment,"Calvary Hill,Vieux-Fort St Lucia",(758)454-6339,Monday-Friday8am-4:30pm,4.2 Stars,4350
Vieux-Fort Health Center,Colonoscopy,"Calvary Hill,Vieux-Fort St Lucia",(758)454-6337,Monday-Friday8am-4:30pm,4.2 Stars,500
Vieux-Fort Health Center,Endoscopy,"Calvary Hill,Vieux-Fort St Lucia",(758)454-6338,Monday-Friday8am-4:30pm,4.2 Stars,2759
Vieux-Fort Health Center,Gynecology,"Calvary Hill,Vieux-Fort St Lucia",(758)454-6341,Monday-Friday8am-4:30pm,4.2 Stars,150-175
Vieux-Fort Health Center,STD Testing,"Calvary Hill,Vieux-Fort St Lucia",(758)454-6342,Monday-Friday8am-4:30pm,4.2 Stars,100-250
Vieux-Fort Health Center,UltraSounds,"Calvary Hill,Vieux-Fort St Lucia",(758)454-6340,Monday-Friday8am-4:30pm,4.2 Stars,100
Vision Express,Audiology,"Brazil St,Castries/ New Dock Road, Vieux Fort",(758)457-7416/ (758)457-7405,Monday-Friday8am-5pm,5 Stars,60
Vision Express,Contact Lenses,"Brazil St,Castries/ New Dock Road, Vieux Fort",(758)457-7416/ (758)457-7403,Monday-Friday8am-5pm,5 Stars,300
Vision Express,Dermatology,"Brazil St,Castries/ New Dock Road, Vieux Fort",(758)457-7416/ (758)457-7404,Monday-Friday8am-5pm,5 Stars,130
Vision Express,Eye Exams,"Brazil St,Castries/ New Dock Road, Vieux Fort",(758)457-7416/ (758)457-7400,Monday-Friday8am-5pm,5 Stars,Free
Vision Express,Ophthalmology,"Brazil St,Castries/ New Dock Road, Vieux Fort",(758)457-7416/ (758)457-7402,Monday-Friday8am-5pm,5 Stars,150
Vision Express,Optilab,"Brazil St,Castries/ New Dock Road, Vieux Fort",(758)457-7416/ (758)457-7407,Monday-Friday8am-5pm,5 Stars,140
Vision Express,Optometry ,"Brazil St,Castries/ New Dock Road, Vieux Fort",(758)457-7416/ (758)457-7401,Monday-Friday8am-5pm,5 Stars,120
Vision Express,Pharmarcy,"Brazil St,Castries/ New Dock Road, Vieux Fort",(758)457-7416/ (758)457-7406,Monday-Friday8am-5pm,5 Stars,10-200
X-Ray and UltraSound Centre,Doppler,"St.Jude Hightway,La Retraite St Lucia",(758)454-6153,Monday-Friday7:30am-4pm,2.5 Stars,150-175
X-Ray and UltraSound Centre,UltraSounds,"St.Jude Hightway,La Retraite St Lucia",(758)454-6152,Monday-Friday7:30am-4pm,2.5 Stars,350
X-Ray and UltraSound Centre,X-Ray,"St.Jude Hightway,La Retraite St Lucia",(758)454-6151,Monday-Friday7:30am-4pm,2.5 Stars,150
